url,tipo,titulo,estado,palabras,num_h1,meta_title,largo_meta_title,meta_description,largo_meta_desc,meta_desc_autogenerada,canonical,og_title_correcto,og_image_ok,enlaces_internos_salientes,enlaces_internos_entrantes,huerfana,enlaces_rotos,imagenes_sin_alt,tiene_calendly,problemas_de_marca,prioridad
https://spanishhobby.com/,page,Learn Spanish (Home),publish,362,1,Learn Spanish Without Even Trying - Spanish Hobby,49,"Free Spanish guide for English speakers. Learn Spanish clearly through structure, grammar, and real-world use.",110,no,https://spanishhobby.com/,si,si,6,0,no,0,0,no,Sin CTA ni enlace a Calendly (objetivo de negocio ausente); og:title 'Learn Spanish' != titulo real; 'Contacto' en bloque nav,Critico
https://spanishhobby.com/structure-of-spanish/,page,The Hidden Structure,publish,397,1,The Hidden Structure - Spanish Hobby,36,"Discover the hidden structure of Spanish. Learn how sounds, words, and sentence patterns shape the way Spanish truly works.",123,no,https://spanishhobby.com/structure-of-spanish/,si,si,5,1,no,0 rotos; 2 redir 301,0,no,5 botones 'Ver Mas' (espanol); 2 CTA a slugs 301 a tema distinto (morphology->phonetics; phonetics-rhythm->phonology); sin Calendly,Alto
https://spanishhobby.com/spanish-sentence/,page,The Building Blocks,publish,612,1,The Building Blocks of a Spanish Sentence - Spanish Hobby,57,"Learn how to build a Spanish sentence using its 9 essential parts; no more guessing, just clear and structured language.",120,no,https://spanishhobby.com/spanish-sentence/,si,si,9,1,no,0 rotos; 1 redir 301,0,no,Placeholder 'Button Text' en boton a pronouns; texto lista 'articles' como parte de oracion (debe ser 'determiners'); 7 'Ver Mas'; CTA a /spanish-articles-explained/ (301); sin Calendly,Alto
https://spanishhobby.com/real-world-spanish/,page,Real World Spanish,publish,540,1,Everyday Spanish in Real Life | Spanish Hobby,45,"Explore how Spanish is spoken, understood, and lived. Learn about real-world usage, cultural nuances, and the way Spanish connects people.",138,no,https://spanishhobby.com/real-world-spanish/,no,si,6,1,no,0 rotos; 1 redir 301,0,no,"H1 y titulo usan 'Everyday Spanish' (debe ser 'Real World Spanish', x3 en cuerpo); 6 'Ver mas'; sin Calendly",Alto
https://spanishhobby.com/about-us/,page,About,publish,339,0,About - Spanish Hobby,21,"Join Spanish hobby to appreciate the beauty of language as more than a skill, but as a way to connect with others deeply.",121,no,https://spanishhobby.com/about-us/,si,no,0,0,si (solo via menu),0,0,no,Sin H1; og:image es el logo 252x47 (roto al compartir); sin Calendly,Alto
https://spanishhobby.com/spanish-hobby-3/,page,Contacto (Contact),publish,87,0,Contacto - Spanish Hobby,24,"Have a question about Spanish Hobby? Reach out to learn more about our approach, our team, or how we can support your Spanish journey.",134,no,https://spanishhobby.com/spanish-hobby-3/,si,si,0,0,si (solo via menu),0,0,no,Titulo y og en espanol 'Contacto'; slug no semantico (/spanish-hobby-3/); sin H1; formulario exige telefono; opcion 'For work or caree' (typo); confirmacion '?Gracias!' en espanol; texto dice 'Book your online free class' pero SIN Calendly,Critico
https://spanishhobby.com/spanish-determiners/,post,Spanish Determiners: The Words That Anchor Every Noun,publish,377,1,Spanish Determiners: The Words That Anchor Every Noun,53,"Learn the six types of Spanish determiners, and how they shape meaning in everyday Spanish.",91,no,https://spanishhobby.com/spanish-determiners/,si,si,0,1,no,0,0,no,OK terminologia (usa 'determiner'); og:image filename 'Spanish-articles.jpg' (menor),Medio
https://spanishhobby.com/spanish-nouns/,post,Spanish Nouns: What They Are and How They Work,publish,200,2,Spanish Nouns: What They Are and How They Work,46,"Learn what Spanish nouns are, how they’re categorized, and how they function in real sentences. A simple introduction for Spanish learners.",139,no,https://spanishhobby.com/spanish-nouns/,si,si,0,1,no,0,0,no,Usa 'articles (el libro)' como parte de oracion (debe ser 'determiners'); 2 H1; sin CTA; contenido critico,Alto
https://spanishhobby.com/spanish-verbs/,post,Spanish Verbs Explained: How They Work and Why They Matter,publish,335,2,Spanish Verbs Explained: How They Work and Why They Matter,58,"Discover how Spanish verbs bring sentences to life. Learn how they work, why they change, and how to master them with confidence and clarity.",141,no,https://spanishhobby.com/spanish-verbs/,si,si,0,1,no,0,0,no,2 H1; sin CTA de conversion,Medio
https://spanishhobby.com/spanish-adjectives/,post,Spanish Adjectives: How to Use Them,publish,232,2,Spanish Adjectives: How to Use Them - Spanish Hobby,51,"Learn how Spanish adjectives work, how to match them with nouns, and how to use them to add color, emotion, and clarity to your Spanish.",136,no,https://spanishhobby.com/spanish-adjectives/,si,si,0,1,no,0,0,no,2 H1; sin CTA; contenido critico,Alto
https://spanishhobby.com/spanish-pronouns/,post,Spanish Pronouns: Small Words with a Big Job,publish,289,2,Spanish Pronouns: Small Words with a Big Job,44,Spanish pronouns replace nouns to make your sentences smoother and less repetitive. Learn how they work and why they matter.,124,no,https://spanishhobby.com/spanish-pronouns/,si,si,0,1,no,0,0,no,2 H1; sin CTA; contenido critico,Alto
https://spanishhobby.com/spanish-adverbs/,post,"Spanish Adverbs: They Adjust, Intensify, and Clarify",publish,160,2,"Spanish Adverbs: They Adjust, Intensify, and Clarify",52,"Discover how Spanish adverbs add nuance, precision, and emotion to your sentences. Learn how they work and why they matter.",123,no,https://spanishhobby.com/spanish-adverbs/,si,si,0,1,no,0,0,no,2 H1; sin CTA; contenido muy delgado (160),Alto
https://spanishhobby.com/spanish-prepositions/,post,Spanish Prepositions: The Invisible Connectors,publish,280,2,Spanish Prepositions: The Invisible Connectors,46,"Spanish prepositions are small words with big meaning. Learn what they do, how they work, and why they’re important.",116,no,https://spanishhobby.com/spanish-prepositions/,si,si,0,1,no,0,0,no,2 H1; sin CTA; contenido critico,Alto
https://spanishhobby.com/spanish-conjunctions/,post,Spanish Conjunctions,publish,210,2,Spanish Conjunctions - Spanish Hobby,36,"Spanish Conjunctions: How to Connect Ideas Like a Native
 
Spanish conjunctions are the glue that holds your sentences together. They link words, phrases, or entire clauses to show relationships. Whether you’re adding ideas, showing contrast, giving reasons, or talking about consequences, conjunctions allow your thoughts to flow. Without them, your Spanish would sound",370,si,https://spanishhobby.com/spanish-conjunctions/,si,si,0,1,no,0,0,no,"2 H1; meta description autogenerada (370 car., cortada); sin CTA; contenido critico",Alto
https://spanishhobby.com/spanish-interjections/,post,"Spanish Interjections: Small Words, Big Feelings",publish,140,2,"Spanish Interjections: Small Words, Big Feelings",48,"Spanish interjections add emotion, authenticity, and rhythm to your Spanish. Think of them as the sparks of a conversation.",123,no,https://spanishhobby.com/spanish-interjections/,si,si,0,2,no,0,0,no,2 H1; sin CTA; contenido muy delgado (140),Alto
https://spanishhobby.com/spanish-syntax/,post,Spanish Syntax,publish,170,2,Spanish Syntax - Spanish Hobby,30,Spanish Syntax is what makes Spanish flow. It’s the set of rules that tells you where each word goes,100,si,https://spanishhobby.com/spanish-syntax/,si,si,0,1,no,0,0,no,2 H1; meta description autogenerada (cortada); sin CTA; contenido muy delgado (170),Alto
https://spanishhobby.com/spanish-semantics-pragmatics/,post,Spanish Semantics & Pragmatics,publish,278,2,Spanish Semantics & Pragmatics - Spanish Hobby,46,Spanish Semantics and Pragmatics help you go beyond words to truly understand what’s said and what’s meant.,107,no,https://spanishhobby.com/spanish-semantics-pragmatics/,si,si,0,2,no,0,0,no,2 H1; sin CTA; contenido critico,Alto
https://spanishhobby.com/spanish-phonetics/,post,Spanish Phonetics,publish,317,1,Spanish Phonetics - Spanish Hobby,33,"Discover how Spanish sounds are produced, articulated, and perceived. A clear guide to Spanish phonetics for English speakers.",126,no,https://spanishhobby.com/spanish-phonetics/,si,si,0,2,no,0,0,no,1 heading vacio; sin CTA; contenido delgado,Medio
https://spanishhobby.com/spanish-phonology/,post,Spanish Phonology: Understanding Sound Systems,publish,625,1,Spanish Phonology: Understanding Sound Systems - Spanish Hobby,62,You can speak Spanish without ever studying phonology. But understanding it helps you hear words you couldn't hear before.,122,no,https://spanishhobby.com/spanish-phonology/,si,si,0,1,no,0,0,no,2 headings vacios; unico post >=600 palabras (625); sin CTA,Bajo
https://spanishhobby.com/how-is-spoken/,post,How Is Spoken,publish,229,2,How Is Spoken - Spanish Hobby,29,"Real World Spanish shows how people actually speak, beyond textbooks. From slang and emotion to accents and expressions.",120,no,https://spanishhobby.com/how-is-spoken/,si,si,0,1,no,0,0,no,Titulo/H1 'How Is Spoken' (gramatica incompleta: deberia ser 'How Spanish Is Spoken'); 2 H1; sin CTA; critico,Alto
https://spanishhobby.com/spanish-language-skills/,post,The Five Spanish Language Skills,publish,225,2,The Five Spanish Language Skills - Spanish Hobby,48,"Understanding the five Spanish language skills is the first step to learning with purpose, not just memorizing words.",117,no,https://spanishhobby.com/spanish-language-skills/,si,si,0,1,no,0,0,no,2 H1; sin CTA; contenido critico,Alto
https://spanishhobby.com/learn-spanish-naturally/,post,Learn Spanish Naturally: Follow the Path Your Brain Already Knows,publish,278,2,Learn Spanish Naturally: Follow the Path Your Brain Already Knows,65,"Learn Spanish naturally through real exposure, emotional connection, and gradual fluency. Discover the path your brain already understands.",139,no,https://spanishhobby.com/learn-spanish-naturally/,si,si,0,1,no,0,0,no,2 H1; sin CTA; contenido critico,Alto
https://spanishhobby.com/spanish-mistakes-for-english-speakers/,post,Spanish Mistakes for English Speakers,publish,246,2,Spanish Mistakes for English Speakers - Spanish Hobby,53,Common Spanish mistakes for English speakers often come from thinking in English. Learn to recognize them.,106,no,https://spanishhobby.com/spanish-mistakes-for-english-speakers/,si,si,0,1,no,0,0,no,2 H1; sin CTA; contenido critico,Alto
https://spanishhobby.com/cultural-nuances-in-spanish/,post,Cultural Nuances in Spanish: the Soul Behind the Language,publish,223,3,Cultural Nuances in Spanish: the Soul Behind the Language,57,"Cultural nuances in Spanish go beyond slang or funny expressions. It’s about social codes, habits, and emotional real conversations.",132,no,https://spanishhobby.com/cultural-nuances-in-spanish/,si,si,0,2,no,0,0,no,3 H1; sin CTA; contenido critico,Alto
https://spanishhobby.com/bridges-between-english-and-spanish/,post,Bridges Between English and Spanish,publish,261,3,Bridges Between English and Spanish - Spanish Hobby,51,Bridges between English and Spanish reduce the mental load of learning and build confidence from the very beginning.,116,no,https://spanishhobby.com/bridges-between-english-and-spanish/,si,si,0,1,no,0,0,no,3 H1; sin CTA; contenido critico,Alto
